id,name,path,parentId,level,hasOnlineChildren,pageTitle,pageDescription
root,Storefront Catalog - EN,Storefront Catalog - EN,,0,6,,
newarrivals,New Arrivals,New Arrivals,root,0,3,"Women and Mens New Arrivals in Clothing, Jewelry, Accessories & More","Shop all new arrivals including women and mens clothing, jewelry, accessories, suits & more at Commerce Cloud"
newarrivals-womens,Womens,New Arrivals > Womens,newarrivals,1,0,"New Arrivals in Women's Footwear, Outerwear, Clothing & Accessories","New Arrivals in womens fashionable and stylish Shoes, jackets and  all other clothing for unbeatable comfort day in, day out. Practical and fashionable styles wherever the occasion."
newarrivals-mens,Mens,New Arrivals > Mens,newarrivals,1,0,"New Arrivals in Men's Clothing, Suits & Accessories","New Arrivals in Mens  jackets and clothing for unbeatable comfort day in, day out. Practical, easy-to-wear styles wherever you're headed."
newarrivals-electronics,Electronics,New Arrivals > Electronics,newarrivals,1,0,"Shop New Arrivals in Electronics Including Televisions, Digital Cameras, iPods & More","Shop New Arrivals in Electronics including the latest in televisions, digital cameras, camcorders, mp3, ipod, mobil phones, GPS & gaming at Commerce Cloud."
womens,Womens,Womens,root,0,3,"Women's Footwear, Outerwear, Clothing & Accessories","Women's range. Fashionable and stylish Shoes, jackets and  all other clothing for unbeatable comfort day in, day out. Practical and fashionable styles wherever the occasion."
womens-clothing,Clothing,Womens > Clothing,womens,1,6,"Womens Clothing Including Outerwear, Tops, Bottoms & More","Shop Women's Clothing. Relaxed, timeless classics you can rely on; from denim to corduroys and sweaters to shirts. Huge range of contemporary colours and eco-aware designs: great casualwear at Commerce Cloud"
womens-outfits,Outfits,Womens > Clothing > Outfits,womens-clothing,2,0,outfits,outfits
womens-clothing-tops,Tops,Womens > Clothing > Tops,womens-clothing,2,0,"Women's Tops including Short & Long Sleeve, Casual, Classic & More","Shop Women's Shirts. Short and long sleeve, Oxford, smart, casual and classic styles for unbeatable comfort from your desk to the great outdoors at Commerce Cloud."
womens-clothing-dresses,Dresses,Womens > Clothing > Dresses,womens-clothing,2,0,Women's Dresses for all Occasions,"Shop Women's dresses for all occasions including formal, evening and casual in a variety of colors at Commerce Cloud"
womens-clothing-bottoms,Bottoms,Womens > Clothing > Bottoms,womens-clothing,2,0,"Women's Bottoms Including Khakis, Cargos, Trousers, Jeans & More","Shop Women's Trousers. Practical, easy-to-wear styles wherever you're headed. Check out Timberland's famous rugged, long-lasting trousers, jeans, cargo pants and more at Commerce Cloud."
womens-clothing-jackets,Jackets & Coats,Womens > Clothing > Jackets & Coats,womens-clothing,2,0,Women's Outerwear Including Jackets & Collections,"Shop Women's Jackets, Coats & Outerwear. Classic outdoor-tested garments with traditional styling details that provide comfort, insulation and ease of movement, whatever the weather at Commerce Cloud."
womens-clothing-feeling-red,Feeling Red,Womens > Clothing > Feeling Red,womens-clothing,2,0,Womens Clothing All in Red,"Shop our Women's Red Store. Shirts, sweaters, knits & more all in red."
womens-jewelry,Jewelry,Womens > Jewelry,womens,1,3,"Women's Jewelry including Earrings, Bracelets and Necklaces.","Shop Women's jewelery including earrings, bracelets and necklaces in a variety of colors and sizes"
womens-jewelry-earrings,Earrings,Womens > Jewelry > Earrings,womens-jewelry,2,0,"Women's Earrings including Button Clip-on, Curved & More","Shop Women's earrings in a variety of colors and styles including button, clip on and curved at Commerce Cloud."
womens-jewelry-bracelets,Bracelets,Womens > Jewelry > Bracelets,womens-jewelry,2,0,"Women's Bracelets including Stretched, Cuff, Beaded & More","Shop Women's bracelets in a variety of colors and styles including stretched, beaded, cuff & more at Commerce Cloud."
womens-jewelry-necklaces,Necklaces,Womens > Jewelry > Necklaces,womens-jewelry,2,0,"Women's Necklaces including Drop, Dangle & More","Shop Women's neclaces in a variety of colors and styles including drop, dangled & more at Commerce Cloud."
womens-accessories,Accessories,Womens > Accessories,womens,1,2,"Women's Accessories Belts, Wallets. Gloves, Hats, Watches, Luggage & More","Shop womens accessories including belts, wallets. gloves, hats, watches, luggage & more at Commerce Cloud."
womens-accessories-scarves,Scarves,Womens > Accessories > Scarves,womens-accessories,2,0,Women's Scarves,"Shop Women's Scarves inclduing tweed, pale, basket and spin all at Commerce Cloud."
womens-accessories-shoes,Shoes,Womens > Accessories > Shoes,womens-accessories,2,0,"Womens Shoes Including Casual, Flat, Mid Heels & High Heels","Shop for womens shoes including casual, flat, mid heel and high heels for any occassion at Commerce Cloud"
mens,Mens,Mens,root,0,2,"Men's Footwear, Outerwear, Clothing & Accessories","Men's range. Hard-wearing boots, jackets and clothing for unbeatable comfort day in, day out. Practical, easy-to-wear styles wherever you're headed."
mens-clothing,Clothing,Mens > Clothing,mens,1,5,"Mens Clothing Including Suits, Tops, Bottoms & More","Shop Men's Clothing. Relaxed, timeless classics you can rely on; from denim to corduroys and sweaters to shirts. Huge range of contemporary colours and eco-aware designs: great casualwear at Commerce Cloud."
mens-clothing-suits,Suits,Mens > Clothing > Suits,mens-clothing,2,0,Mens Suits for Business and Casual,Shop Men's suits for business or pleasure. Enjoy from a variety of different styles and cuts at Commerce Cloud.
mens-clothing-jackets,Jackets & Coats,Mens > Clothing > Jackets & Coats,mens-clothing,2,0,Men's Jackets Including Jackets & Blazzers,"Shop Men's Jackets, Coats & Outerwear. Classic outdoor-tested garments with traditional styling details that provide comfort, insulation and ease of movement, whatever the weather at Commerce Cloud."
mens-clothing-dress-shirts,Dress Shirts,Mens > Clothing > Dress Shirts,mens-clothing,2,0,"Men's Dress Shirts including Striped, Button Down, Non-Iron & More","Shop Men's dress shirts in a variety of colors and styles including striped, button down, non-iron & more at Commerce Cloud"
